Title,Description,BiocVersion,Genome,SourceType,SourceUrl,SourceVersion,Species,TaxonomyId,Coordinate_1_based,DataProvider,Maintainer,RDataClass,DispatchClass,RDataPath,Tags
Plasmodium falciparum 3D7 GCA_000002765,Genome data for Plasmodium falciparum 3D7 retrieved from NCBI.,3.18,GCA_000002765,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCF_000002765.6,4/7/2016,Plasmodium falciparum 3D7,,TRUE,Annotation submitted by Plasmodium falciparum Genome Sequencing Consortium,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/GCA_000002765.rds,"Plasmodium falciparum 3D7, Genome"
Plasmodium vivax ASM241v2,Genome data for Plasmodium vivax retrieved from NCBI.,3.18,ASM241v2,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_000002415.2,5/6/2009,Plasmodium vivax,,TRUE,Annotation submitted by TIGR,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/ASM241v2.rds,"Plasmodium vivax, Genome"
Plasmodium vivax ASM241v2,Genome data for Plasmodium vivax retrieved from NCBI.,3.18,ASM241v2,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCF_000002415.2,5/6/2009,Plasmodium vivax,,TRUE,Annotation submitted by TIGR,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/ASM241v2.rds,"Plasmodium vivax, Genome"
Plasmodium knowlesi strain H GCA_000006355.2,Genome data for Plasmodium knowlesi strain H retrieved from NCBI.,3.18,GCA_000006355.2,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_000006355.3,2/24/2020,Plasmodium knowlesi strain H,,TRUE,Annotation submitted by Wellcome Trust Sanger Institute,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/GCA_000006355.2.rds,"Plasmodium knowlesi strain H, Genome"
Plasmodium knowlesi strain H GCA_000006355.2,Genome data for Plasmodium knowlesi strain H retrieved from NCBI.,3.18,GCA_000006355.2,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCF_000006355.2,2/24/2020,Plasmodium knowlesi strain H,,TRUE,Annotation submitted by Wellcome Trust Sanger Institute,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/GCA_000006355.2.rds,"Plasmodium knowlesi strain H, Genome"
Plasmodium malariae PmUG01,Genome data for Plasmodium malariae retrieved from NCBI.,3.18,PmUG01,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_900090045.1,12/13/2016,Plasmodium malariae,,TRUE,Annotation submitted by WTSI,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/PmUG01.rds,"Plasmodium malariae, Genome"
Plasmodium malariae PmUG01,Genome data for Plasmodium malariae retrieved from NCBI.,3.18,PmUG01,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCF_900090045.1,12/13/2016,Plasmodium malariae,,TRUE,Annotation submitted by WTSI,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/PmUG01.rds,"Plasmodium malariae, Genome"
Plasmodium ovale wallikeri Pow1,Genome data for Plasmodium ovale wallikeri retrieved from NCBI.,3.18,Pow1,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_900088485.1,6/16/2016,Plasmodium ovale wallikeri,,TRUE,Annotation submitted by KAUST,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/Pow1.rds,"Plasmodium ovale wallikeri, Genome"
Plasmodium falciparum PfDd2-3,Genome data for Plasmodium falciparum retrieved from NCBI.,3.18,PfDd2-3,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_900632045.1,12/11/2018,Plasmodium falciparum,,TRUE,,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/PfDd2-3.rds,"Plasmodium falciparum, Genome"
Plasmodium falciparum 3D7 ASM3271307v1,Genome data for Plasmodium falciparum 3D7 retrieved from NCBI.,3.18,ASM3271307v1,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_032713075.1,10/16/2023,Plasmodium falciparum 3D7,,TRUE,,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/ASM3271307v1.rds,"Plasmodium falciparum 3D7, Genome"
